t,Position,Theta,Velocity,Theta_dot,u
0.0,0.0,0.0,0.0,0.0,6.097474709142868
0.16,0.017784322052586694,-0.024372717096010185,0.22230402623912646,-0.3046589643734476,22.721090524117656
0.32,0.08930870964978355,-0.1138356328028402,0.6717508187258355,-0.813627481961929,36.46404755020618
0.48,0.23803666102819018,-0.26891410820766487,1.1873485735042484,-1.1248534605983778,33.740526565911225
0.64,0.45536759942845817,-0.42404380675785014,1.5292881564991005,-0.8142677712789355,16.78675650394237
0.8,0.7024407880033816,-0.4758964158494348,1.559126700687441,0.1661101576341313,-5.5182969161082935
0.96,0.9265395286537074,-0.3394190255438927,1.24210755744163,1.5398572211851482,-28.516591321245755
1.12,1.077112892051486,0.008100896077192329,0.6400594850306018,2.8041417990783652,-45.652046081377364
1.28,1.129749081104865,0.4832422007879571,0.017892878136635756,3.1351245098061087,-40.595285462851756
1.44,1.103063187195788,0.903104422310626,-0.3514665520000908,2.113153259227521,-19.89875151668065
1.6,1.0376501593194252,1.0919942151672302,-0.4661962964545211,0.24796915148001641,-5.034104338276215
1.76,0.9703771794892315,0.9643135329679791,-0.37471595142289293,-1.843977678970664,8.489428253729846
1.92,0.9432166632878712,0.5069412132808199,0.03520949890589886,-3.873176317118637,32.75422599143835
2.08,0.9988462477782032,-0.20851861265808067,0.6601603072232629,-5.070071507117591,45.73400244926797
2.24,1.1343769595245616,-0.9640226446469277,1.0339735896062308,-4.37372889274328,20.315394301772095
2.4,1.3017137579809162,-1.4960962289225495,1.0577363910982092,-2.277190910702503,-0.6961906471860003
2.56,1.4674774328349172,-1.672714488318252,1.0143095445768084,0.06946266825624338,-2.074662650802777
2.72,1.624016691873637,-1.4736321900445886,0.9424311934071969,2.4190660601645764,-4.136070015941636
2.88,1.7447856728434579,-0.8950667439292147,0.5671810687155692,4.813002016276971,-28.326909013380156
3.04,1.7752447935496858,0.022628833694412764,-0.18644205988772372,6.658192704019665,-57.17510995513326
3.2,1.7084555339291951,1.0577782309591741,-0.6484236853684118,6.281174761790038,-25.695069701339612
3.36,1.6120077079850008,1.8972807250518577,-0.5571741389340112,4.2126064143666415,8.77737615801712
3.52,1.5388643198212606,2.4330422129562757,-0.35711821311273334,2.484412184439077,13.077758292436448
3.68,1.4921528996828162,2.7457058877273623,-0.22677453861781494,1.4238837501991999,8.169900647362958
3.84,1.4609411787074162,2.9240290296887426,-0.16337197357467662,0.8051555243180454,4.011651187338257
4.0,1.4367681219019066,3.024409788364219,-0.13879123649419123,0.449603959125404,1.6199461595834075
4.16,1.4149845534697665,3.080188209079528,-0.1335033689075575,0.24762629981595785,0.39855404741159034
4.32,1.3933512745273975,3.110713697963135,-0.13691261787205505,0.1339423112291204,-0.17458692088261402
4.48,1.3709076170208503,3.1270628288284086,-0.14363310095978535,0.0704218245867997,-0.4058349851654826
4.64,1.3473386642770866,3.1355078190293697,-0.15097880833726285,0.03514055292521545,-0.45926858657453895
4.8,1.3226511057187522,3.1395705754442362,-0.1576156736419154,0.0156439022606188,-0.4201414478638008
4.96,1.2970111212672155,3.1412155236862227,-0.1628841320022929,0.0049179507642097605,-0.3332665511814336
5.12,1.2706636559484608,3.141532229459051,-0.16645918448214,-0.0009591286038534624,-0.22117006161875458
5.28,1.243892624917586,3.1411224829547697,-0.1681787034037929,-0.004162702699663808,-0.0957799886116619
5.44,1.2170010891928777,3.140317700871882,-0.16796549315506462,-0.005897073336433171,0.036443416667160076
5.6000000000000005,1.1903011692024625,3.139300034989957,-0.16578350672513575,-0.006823750187629958,0.172553311608966
5.76,1.1641094285579852,3.1381704707450617,-0.1616132513308424,-0.007295802873559883,0.3110957883324216
5.92,1.1387446751636605,3.136987177045821,-0.15544616609822323,-0.0074953683669494574,0.45084122317122005
6.08,1.1145263363610733,3.135787002262449,-0.14728306893409832,-0.007506816425203588,0.5910481216921446
6.24,1.0917732962634237,3.134598869973761,-0.13712993228653006,-0.007344837183393141,0.7312617184349128
6.4,1.070802843950517,3.1334540632358707,-0.1250007216248058,-0.006965247040235522,0.8704170367023458
6.5600000000000005,1.051928519489209,3.1323956656530583,-0.1109283341415509,-0.006264722744920327,1.0065316773763464
6.72,1.0354558306010522,3.131489384912816,-0.09498027696041811,-0.005063786508109729,1.1362322900255448
6.88,1.0216739750046688,3.1308371725716015,-0.07729291799436658,-0.0030888677570687613,1.2526297927699215
7.04,1.0108397581716568,3.130592996167731,-0.058134792418294355,3.6662708688836547e-05,1.3434450170110768
7.2,1.0031457019245928,3.130974069859624,-0.0380409106700071,0.0047267584399700415,1.3834856977528813
7.36,0.9986559717155432,3.1322451038482484,-0.018080716943114406,0.011161166417833797,1.3249195434474328
7.5200000000000005,0.9971786375495771,3.1346168813118553,-0.00038596013146047654,0.018486051877256528,1.0743291327721014
7.68,0.9980116197023657,3.1379132366352147,0.010798237041317046,0.022718389664735748,0.45150287098627506
7.84,0.9994377393809001,3.140661680698516,0.0070282589403627745,0.011637161126526126,-0.8930570601088956
8.0,1.0,3.141592653589793,0.0,0.0,
