t,Position,Theta,Velocity,Theta_dot,u
0.0,0.0,0.0,0.0,0.0,11.668695509317981
0.025,0.0005249982868349666,-0.0007856124258703744,0.04199986319398341,-0.06284899342082974,22.874429527610104
0.05,0.002255178687858652,-0.0033674601335596803,0.0964145688879113,-0.14369882319431368,21.930011266123948
0.07500000000000001,0.005315119314648953,-0.0079082576545442,0.14838068125531348,-0.219564978484449,20.951532311416635
0.1,0.009642189740324375,-0.0142725666341639,0.19778495279872116,-0.2895797398851283,19.94372911865718
0.125,0.015171112504901071,-0.02230418497901912,0.24452886836741514,-0.3529497277032949,18.911946298370474
0.15000000000000002,0.02183435070454961,-0.03182812929072389,0.2885301876044683,-0.4089658172330901,17.861799246710994
0.17500000000000002,0.029562528295831295,-0.0426528515567987,0.32972401969806686,-0.4570119640528962,16.799055085823905
0.2,0.03828488002765833,-0.05457267310749891,0.3680641188480954,-0.4965737600031202,15.729897916881407
0.225,0.047929732366117514,-0.06737041990249446,0.40352406822864073,-0.5272459835965259,14.660583646795388
0.25,0.05842500561557665,-0.08082022051411232,0.4360977917280854,-0.5487380653328955,13.597294953873602
0.275,0.06969872762758651,-0.09469042279313516,0.4657999692327073,-0.5608781169889384,12.5463174499735
0.30000000000000004,0.08167955355911681,-0.10874658655638617,0.4926661052897107,-0.5636149840711318,11.513728005039958
0.325,0.09429727653478268,-0.1227544919734844,0.5167517327635623,-0.5570174492967327,10.50516883206907
0.35000000000000003,0.10748331539011449,-0.13648310388494866,0.5381313756629855,-0.541271503620413,9.52605565612203
0.375,0.12117116956622538,-0.14970743874853132,0.5568969584258865,-0.5166752854661943,8.581082259470591
0.4,0.13529683094957928,-0.16221128306162697,0.5731559522424253,-0.4836322595814595,7.6746386182231605
0.42500000000000004,0.14979914859969146,-0.1737897254910946,0.5870294597665479,-0.4426431347759503,6.81043862347416
0.45,0.1646201388362714,-0.18425146526551597,0.5986497591598482,-0.3942960471777597,5.991493032486073
0.47500000000000003,0.17970523717136225,-0.19342087147838435,0.6081581076474197,-0.33925644985171005,5.220343358359275
0.5,0.19500349723493648,-0.20113978702754004,0.6157026974385196,-0.2782567940807448,4.498898116148843
0.525,0.21046773975318198,-0.20726907357653673,0.6214367040211193,-0.2120861298389916,3.828577648359694
0.55,0.22605465955289059,-0.21168990603476945,0.6255168799555653,-0.14158046681962702,3.2104970301060676
0.5750000000000001,0.24172489976831896,-0.21430483053869864,0.6281023372786997,-0.06761349349470999,2.6453045177047416
0.6000000000000001,0.25744309799165593,-0.21503859580655277,0.6293535205882569,0.008912272066381545,2.1333690127512974
0.625,0.2731779082988229,-0.21383876770756985,0.6294313039851105,0.08707397585225056,1.674580493827355
0.65,0.28890200699913215,-0.21067614259971942,0.6284965920396305,0.16593603277578367,1.2688807525689019
0.675,0.30459208832703083,-0.2055449715713566,0.6267099141922619,0.24455764949324482,0.9156814752802812
0.7000000000000001,0.3202288510129543,-0.19846299826205152,0.6242311006816131,0.32200021525116046,0.6145120118048036
0.7250000000000001,0.33579696950379717,-0.18947130030144413,0.621218378585818,0.3973356215974337,0.36393822900272865
0.75,0.3512850446028227,-0.17863392380021123,0.6178276293362255,0.4696544985011989,0.1628650279201731
0.775,0.3666855353996621,-0.16603730903933642,0.6142116344109173,0.5380746823687896,0.009349399260925631
0.8,0.3819946600310658,-0.1517894834116517,0.6105183361013808,0.6017513678459884,-0.09887379448297638
0.8250000000000001,0.3972122524747707,-0.13601899722346925,0.6068890593950121,0.6598875272086043,-0.16478707570376366
0.8500000000000001,0.41234157084512935,-0.1188735915676659,0.6034564102336734,0.7117449252556582,-0.19180530485021954
0.875,0.4273890518586057,-0.10051858931005407,0.6003420708444415,0.7566552553532805,-0.18401292266717156
0.9,0.44236400447468166,-0.08113500219772471,0.5976541384416397,0.7940317136330605,-0.14621151140730718
0.925,0.4572782394994751,-0.06091735855070153,0.5954846635418278,0.8233797781287878,-0.08367292015737192
0.9500000000000001,0.4721456403330127,-0.04007127530502692,0.5939074031411812,0.8443068815251776,-0.002240099454505675
0.9750000000000001,0.48698167934474695,-0.01881080438328371,0.592975717797555,0.8565307922142901,0.09179270728981989
1.0,0.501802888605128,0.0026444033147508083,0.5927210230329271,0.8598858236284694,0.19185280757215076
1.0250000000000001,0.5166263014813472,0.024072055376475936,0.5931520070646146,0.854326341309538,0.29133187984739645
1.05,0.5314688797538006,0.04525023433759509,0.594254254731659,0.8399279755799913,0.38343062658971844
1.075,0.5463469404211817,0.06596040928489993,0.5959905986588216,0.8168860202043917,0.46165655710985837
1.1,0.5612756036989813,0.08599036804962876,0.5983024635651413,0.7855106809739117,0.5199030641704605
1.125,0.5762682771152859,0.10513700805547752,0.6011114097392273,0.7462205194939925,0.5523326501108841
1.1500000000000001,0.591336181991782,0.12320894155561601,0.6043209803804601,0.6995341605170873,0.5535973265139249
1.175,0.6064879361537685,0.14002886596335648,0.6078193525784567,0.6460597921021509,0.5191993689948812
1.2000000000000002,0.6217292027432357,0.15543566305388096,0.6114819745789212,0.5864839751398052,0.4451086474048233
1.225,0.6370624007005793,0.16928621939145655,0.6151738620085673,0.521560531866245,0.3279177536361516
1.25,0.652486471010042,0.1814569690751375,0.6187517627484449,0.4520994428282295,0.16468405840680875
1.2750000000000001,0.6679966966193562,0.19184515971244467,0.6220662859966991,0.37895580815634583,-0.046799079109961075
1.3,0.683584572788048,0.2003698484028877,0.62496380749864,0.3030192870790997,-0.30829583375105857
1.3250000000000002,0.6992377174310365,0.20697264773771995,0.6272877639404412,0.22520465970748524,-0.6211747843771158
