t,Position,Theta,Velocity,Theta_dot,u
0.0,1.0,3.141592653589793,0.0,0.0,25.727222325497788
0.1,1.0131967205717793,3.1621392896044482,0.26393441147946906,0.41093272034183115,28.427563725305465
0.2,1.0446805712312321,3.214300376886786,0.365742601709609,0.6322890253049573,-8.053814755431427
0.30000000000000004,1.0727725120916252,3.272368210966063,0.19609621549825854,0.5290676562805826,-28.277225491338164
0.4,1.0770437032803744,3.313641489926836,-0.11067239172328348,0.296397922934826,-37.2429050694341
0.5,1.0483117721579391,3.3304205767736565,-0.4639662307254031,0.039183814001593376,-38.56887738441252
0.6000000000000001,0.9848857328264592,3.322766846328476,-0.8045545559042157,-0.19225842290519513,-34.91622016919236
0.7000000000000001,0.889904067170022,3.294287399420048,-1.095078757224509,-0.3773305152633704,-28.127853041475003
0.8,0.7695175554342428,3.2499629988004664,-1.3126514774910374,-0.5091574971282213,-19.431738056537547
0.9,0.6316923907716203,3.195201167299268,-1.4438518157612081,-0.5860791328957171,-9.653766676708562
1.0,0.4854110980005052,3.1355008802567093,-1.4817740396609596,-0.6079266079554391,0.6061625205688302
1.1,0.34009387893961884,3.076368133612908,-1.4245703415568365,-0.5747283249205931,10.843605473722643
1.2000000000000002,0.20511158058826864,3.0233087198590716,-1.2750756254699807,-0.48645995015617455,20.54133620246714
1.3,0.08928842899531193,2.9818131438692546,-1.041387406389295,-0.3434515696402237,29.060110809727608
1.4000000000000001,0.0002895324189204924,2.9572385490827298,-0.7385905251385729,-0.14804032609025766,35.49723335244904
1.5,-0.05624415925942309,2.9543834874427968,-0.3920833084282454,0.0909390932916079,38.501628227761735
1.6,-0.07800178917435524,2.9763453328069662,-0.04306928987045941,0.34829781399180226,36.05018372967955
1.7000000000000002,-0.06797701410719119,3.021995398100074,0.2435647912137226,0.5647034918703048,25.256542703251032
1.8,-0.03733141300472916,3.0812263540516276,0.36934723083551474,0.6199156271607722,2.2162626076042717
1.9000000000000001,-0.00943202573156447,3.126907394498823,0.18864051462780426,0.2937051817831894,-38.59189016444331
2.0,0.0,3.141592653589793,0.0,0.0,
